work_item,length,width,height,thickness,depth, qty ,price,amount
topsoil,35,17.56,1.00,1.00,1.00, 614.60 ,150.00,92190.00
trench,145,0.69,1.00,1.00,0.90, 90.05 ,950.00,85542.75
cart_away,145,0.23,0.60,1.00,1.00, 20.01 ,750.00,15007.50
surf_trmnt,145,0.69,0.90,1.00,2.00, 180.09 ,250.00,45022.50
erthwk_spprt,185,1.00,0.90,1.00,1.00, 166.50 ,1250.00,208125.00
lvl_cmpct,145,0.69,1.00,1.00,1.00, 100.05 ,250.00,25012.50
blinding,145,0.69,1.00,0.50,1.00, 50.03 ,1500.00,75037.50
conc_fnd,145,0.69,1.00,0.30,1.00, 30.02 ,50000.00,1500750.00
blkwk_trnch,143,0.23,1.25,0.00,1.00, 178.75 ,3500.00,625625.00
filled_sld,143,0.25,0.23,0.30,2.00, 4.83 ,2500.00,12065.63
bkfll_trnch,145,0.46,0.60,1.00,1.00, 40.02 ,550.00,22011.00
dpm_blk,143,0.23,1.00,1.00,1.00, 32.89 ,200.00,6578.00
dpm_oversite,34.7,17.26,1.00,1.00,1.00, 598.92 ,200.00,119784.40
hard_core,32.86,15.88,1.00,0.30,1.00, 156.55 ,3500.00,547907.64
extra_over,32.86,15.88,1.00,0.20,1.00, 104.36 ,3500.00,365271.76
oversite_conc,34.7,17.26,1.00,0.15,1.00, 89.84 ,7500.00,673787.25
